"inchikey"	"synonym"
"DBVJJBKOTRCVKF-UHFFFAOYSA-N"	"(1-hydroxyethane-1,1-diyl)bis[hydrogen"
"DBVJJBKOTRCVKF-UHFFFAOYSA-N"	"(1-hydroxyethylidene)diphosphonic acid,"
"INWLQCZOYSRPNW-UHFFFAOYSA-N"	"(1-methyl-dl-piperidine-2-carboxylic"
"QTBSBXVTEAMEQO-UHFFFAOYSA-N"	"(1:2:1)"
"WBXPDJSOTKVWSJ-UHFFFAOYSA-N"	"(1/7)"
"RPOBPHCDIPHDQL-UHFFFAOYSA-L"	"(1/9)"
"SEEPANYCNGTZFQ-UHFFFAOYSA-N"	"(1%"
"SEEPANYCNGTZFQ-UHFFFAOYSA-N"	"(1%"
"SEEPANYCNGTZFQ-UHFFFAOYSA-N"	"(1%"
"SEEPANYCNGTZFQ-UHFFFAOYSA-N"	"(1% silver"
"SEEPANYCNGTZFQ-UHFFFAOYSA-N"	"(1% silver"
"PGBHMTALBVVCIT-UHFFFAOYSA-N"	"(10"
"PGBHMTALBVVCIT-UHFFFAOYSA-N"	"(10"
"PGBHMTALBVVCIT-UHFFFAOYSA-N"	"(10 x"
"PGBHMTALBVVCIT-UHFFFAOYSA-N"	"(10 x"
"NXFQHRVNIOXGAQ-UHFFFAOYSA-N"	"(100"
"NXFQHRVNIOXGAQ-UHFFFAOYSA-N"	"(100"
"NXFQHRVNIOXGAQ-UHFFFAOYSA-N"	"(100 mg)"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(1000"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(1000"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(1000 mg)"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"(1000mcg/ml)"
"JZRWCGZRTZMZEH-UHFFFAOYSA-N"	"(100mg/ml)"
"TTWJBBZEZQICBI-UHFFFAOYSA-N"	"(10mg"
"TTWJBBZEZQICBI-UHFFFAOYSA-N"	"(10mg"
"MYPYJXKWCTUITO-UHFFFAOYSA-N"	"(10ml)"
"FRPZMMHWLSIFAZ-UHFFFAOYSA-N"	"(11:1n1)"
"QPCDCPDFJACHGM-UHFFFAOYSA-N"	"(111in)"
"HPYIIXJJVYSMCV-UHFFFAOYSA-N"	"(12-41)"
"RWTNPBWLLIMQHL-UHFFFAOYSA-N"	"(120mg)"
"NIJJYAXOARWZEE-UHFFFAOYSA-N"	"(125mg)"
"XSQUKJJJFZCRTK-UHFFFAOYSA-N"	"(13c)"
"NFDRPXJGHKJRLJ-UHFFFAOYSA-N"	"(153sm)"
"HYAFETHFCAUJAY-UHFFFAOYSA-N"	"(15mg)"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg-grape"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg/5ml-bubblegum"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg/5ml-bubblegum"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg/5ml-bubblegum flavour)"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg/5ml-cherry"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg/5ml-cherry"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(160mg/5ml-cherry flavour)"
"DILDHNKDVHLEQB-UHFFFAOYSA-N"	"(17b)-estra-1,3,"
"DILDHNKDVHLEQB-UHFFFAOYSA-N"	"(17beta)-estra-1,3,"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(18"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(18"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(18 miu"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(18 miu"
"ZCXUVYAZINUVJD-UHFFFAOYSA-N"	"(18)fdg"
"SDUQYLNIPVEERB-UHFFFAOYSA-N"	"(1gm/vial)"
"OVBPIULPVIDEAO-UHFFFAOYSA-N"	"(1mg"
"OVBPIULPVIDEAO-UHFFFAOYSA-N"	"(1mg"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(1ml"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(1ml"
"GBLRQXKSCRCLBZ-UHFFFAOYSA-N"	"(1r,2s"
"GBLRQXKSCRCLBZ-UHFFFAOYSA-N"	"(1r,2s"
"QHMBSVQNZZTUGM-UHFFFAOYSA-N"	"(1r,6r)-"
"GBLRQXKSCRCLBZ-UHFFFAOYSA-N"	"(1s,2r"
"GBLRQXKSCRCLBZ-UHFFFAOYSA-N"	"(1s,2r"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(2"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(2"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(2 ml)"
"ACGDKVXYNVEAGU-UHFFFAOYSA-N"	"(2-(hexahydro-1(2h)-azocinyl)ethyl)-,"
"ACGDKVXYNVEAGU-UHFFFAOYSA-N"	"(2-(octahydro-1-azocinyl)ethyl)-,"
"HVAUUPRFYPCOCA-UHFFFAOYSA-N"	"(2-{[(2r)-2-(acetyloxy)-3-(hexadecyloxy)propyl"
"KILNVBDSWZSGLL-UHFFFAOYSA-N"	"(2-{[(2r)-2,3-bis(hexadecanoyloxy)propyl"
"SUHOQUVVVLNYQR-UHFFFAOYSA-N"	"(2-{[(2s)-2,3-dihydroxypropyl"
"LPLVUJXQOOQHMX-UHFFFAOYSA-N"	"(2-o-beta-d-glucopyranosyluronic"
"IPOKCKJONYRRHP-UHFFFAOYSA-N"	"(2:1:2)"
"LLPOLZWFYMWNKH-UHFFFAOYSA-N"	"(2:5)"
"JBIWCJUYHHGXTC-UHFFFAOYSA-N"	"(2/1/1)"
"FLWFHHFTIRLFPV-UHFFFAOYSA-N"	"(2/4/1)"
"OZOMQRBLCMDCEG-UHFFFAOYSA-N"	"(2/7)"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(20"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(20"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(20 ml)"
"LGEQQWMQCRIYKG-UHFFFAOYSA-N"	"(20.4,"
"LGEQQWMQCRIYKG-UHFFFAOYSA-N"	"(20.4,"
"LGEQQWMQCRIYKG-UHFFFAOYSA-N"	"(20.4,"
"HEFNNWSXXWATRW-UHFFFAOYSA-N"	"(200mg"
"HEFNNWSXXWATRW-UHFFFAOYSA-N"	"(200mg"
"SDUQYLNIPVEERB-UHFFFAOYSA-N"	"(200mg/vial)"
"BJFGVYCULWBXKF-UHFFFAOYSA-M"	"(203hg)"
"MYPYJXKWCTUITO-UHFFFAOYSA-N"	"(20ml)"
"NIJJYAXOARWZEE-UHFFFAOYSA-N"	"(250mg)"
"RCINICONZNJXQF-UHFFFAOYSA-N"	"(2ar-(2aalpha,4beta,4abeta,6beta,9alpha(alpha"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(2ml"
"OEXHQOGQTVQTAT-UHFFFAOYSA-N"	"(2ml"
"FEWJPZIEWOKRBE-UHFFFAOYSA-N"	"(2r,3r)-2,3-dihydroxybutanedioic acid,"
"BBFQZRXNYIEMAW-UHFFFAOYSA-N"	"(3,4-d)"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(3/2)"
"HYAFETHFCAUJAY-UHFFFAOYSA-N"	"(30mg)"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(325mg)"
"UROPGAQBZGIPQC-UHFFFAOYSA-N"	"(3beta)-"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"(3mg/ml"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"(3mg/ml"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"(3mg/ml"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"(3mg/ml sucrose"
"MKXZASYAUGDDCJ-UHFFFAOYSA-N"	"(3mg/ml sucrose"
"HYAFETHFCAUJAY-UHFFFAOYSA-N"	"(45mg)"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"(5%"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"(5%"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"(5%"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"(5% mannitol"
"FBPFZTCFMRRESA-UHFFFAOYSA-N"	"(5% mannitol"
"NXFQHRVNIOXGAQ-UHFFFAOYSA-N"	"(50 mg)"
"NNJVILVZKWQKPM-UHFFFAOYSA-N"	"(50 mg/5ml)"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"(500mcg/ml)"
"NDAUXUAQIAJITI-UHFFFAOYSA-N"	"(50mcg/ml)"
"NNJVILVZKWQKPM-UHFFFAOYSA-N"	"(50mg/5ml)"
"ZZVUWRFHKOJYTH-UHFFFAOYSA-N"	"(50mg/ml)"
"ZZVUWRFHKOJYTH-UHFFFAOYSA-N"	"(50mg/ml)"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(59"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(59"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(59 fe)"
"TTWJBBZEZQICBI-UHFFFAOYSA-N"	"(5mg"
"TTWJBBZEZQICBI-UHFFFAOYSA-N"	"(5mg"
"KWTSXDURSIMDCE-UHFFFAOYSA-N"	"(5mg)"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(6000000"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(6000000"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(6000000 iu/ml"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(6000000 iu/ml"
"GZUITABIAKMVPG-UHFFFAOYSA-N"	"(60mg)"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(62%)"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(62%)"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(67"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(67"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(67 ga)"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(67ga)"
"MQZIGYBFDRPAKN-UHFFFAOYSA-N"	"(6ci)"
"IZFHEQBZOYJLPK-UHFFFAOYSA-N"	"(6r)-dhla"
"IZFHEQBZOYJLPK-UHFFFAOYSA-N"	"(6s)-dhla"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(70%"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(70%"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(70%"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(70% v/v)"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(70% v/v)"
"JCMLWGQJPSGGEI-UHFFFAOYSA-N"	"(75se)"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(79%-85%"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(79%-85%"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(79%-85%"
"VFLDPWHFBUODDF-UHFFFAOYSA-N"	"(79%-85% curcumin)"
"XDXDZDZNSLXDNA-UHFFFAOYSA-N"	"(7s-cis)-"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(80mg"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(80mg"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(80mg-bubblegum"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(80mg-fruit"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(80mg-fruit splash"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(80mg-grape"
"XZWYZXLIPXDOLR-UHFFFAOYSA-N"	"(850mg)"
"LOUPRKONTZGTKE-UHFFFAOYSA-N"	"(8alpha,9r)-,"
"IPVQLZZIHOAWMC-UHFFFAOYSA-N"	"(8mg"
"IPVQLZZIHOAWMC-UHFFFAOYSA-N"	"(8mg"
"FBWNMEQMRUMQSO-UHFFFAOYSA-N"	"(9)"
"FBWNMEQMRUMQSO-UHFFFAOYSA-N"	"(9) nonyl"
"OYHQOLUKZRVURQ-UHFFFAOYSA-N"	"(9z,12z)-9,12-octadecadienoic acid,"
"ZQPPMHVWECSIRJ-UHFFFAOYSA-N"	"(9z)-"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(acetaminophen"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"(acetylsalicylic"
"NGVDGCNFYWLIFO-UHFFFAOYSA-N"	"(active"
"NGVDGCNFYWLIFO-UHFFFAOYSA-N"	"(active"
"ZKHQWZAMYRWXGA-UHFFFAOYSA-N"	"(adenosine"
"BYBLEWFAAKGYCD-UHFFFAOYSA-N"	"(af)"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(albumin"
"IWUCXVSUMQZMFG-UHFFFAOYSA-N"	"(albumin"
"LGEQQWMQCRIYKG-UHFFFAOYSA-N"	"(all-z)"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(aloe"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(aloe"
"LFQSCWFLJHTTHZ-UHFFFAOYSA-N"	"(aloe vera"
"GJSURZIOUXUGAL-UHFFFAOYSA-N"	"(amino"
"GJSURZIOUXUGAL-UHFFFAOYSA-N"	"(amino"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(and)"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"(antacid)"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(apple"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(apple"
"KBZOIRJILGZLEJ-UHFFFAOYSA-N"	"(arginine"
"KBZOIRJILGZLEJ-UHFFFAOYSA-N"	"(arginine"
"HBOMLICNUCNMMY-UHFFFAOYSA-N"	"(azt)"
"FWKQNCXZGNBPFD-UHFFFAOYSA-N"	"(azulon)"
"CURUTKGFNZGFSE-UHFFFAOYSA-N"	"(bicyclohexyl)-1-carboxylic acid,"
"PLDUPXSUYLZYBN-UHFFFAOYSA-N"	"(bp)"
"PLDUPXSUYLZYBN-UHFFFAOYSA-N"	"(bp) 25mg/ml"
"FIPWRIJSWJWJAI-UHFFFAOYSA-N"	"(butyl)"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"(caplet)"
"HEFNNWSXXWATRW-UHFFFAOYSA-N"	"(caplets)"
"WWZKQHOCKIZLMA-UHFFFAOYSA-N"	"(caprylic"
"WWZKQHOCKIZLMA-UHFFFAOYSA-N"	"(caprylic"
"DUGOZIWVEXMGBE-UHFFFAOYSA-N"	"(cd)"
"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"(ch3)2so"
"SQVRNKJHWKZAKO-UHFFFAOYSA-N"	"(chair"
"SQVRNKJHWKZAKO-UHFFFAOYSA-N"	"(chair"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"(cherry"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"(cherry"
"BSYNRYMUTXBXSQ-UHFFFAOYSA-N"	"(cherry)"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(children's"
"QVYRGXJJSLMXQH-UHFFFAOYSA-N"	"(citrate)"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(coconut"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(coconut"
"LUZRJRNZXALNLM-UHFFFAOYSA-N"	"(dhe),"
"LUZRJRNZXALNLM-UHFFFAOYSA-N"	"(dhe),"
"SHGAZHPCJJPHSC-UHFFFAOYSA-N"	"(dsl)"
"WDKYDMULARNCIS-UHFFFAOYSA-N"	"(e)-ethyl"
"ZQPPMHVWECSIRJ-UHFFFAOYSA-N"	"(e)-oleic"
"SHGAZHPCJJPHSC-UHFFFAOYSA-N"	"(ecl)"
"JAZBEHYOTPTENJ-UHFFFAOYSA-N"	"(epa"
"JAZBEHYOTPTENJ-UHFFFAOYSA-N"	"(epa"
"ULGZDMOVFRHVEP-UHFFFAOYSA-N"	"(eryped)"
"KCXVZYZYPLLWCC-UHFFFAOYSA-N"	"(ethylenedinitrilo)tetraacetic acid,"
"HSRJKNPTNIJEKV-UHFFFAOYSA-N"	"(expectorant"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(fg40)"
"ZIMGGGWCDYVHOY-UHFFFAOYSA-N"	"(for"
"ZIMGGGWCDYVHOY-UHFFFAOYSA-N"	"(for"
"ZIMGGGWCDYVHOY-UHFFFAOYSA-N"	"(for men)"
"VMXUWOKSQNHOCA-UHFFFAOYSA-N"	"(form"
"VMXUWOKSQNHOCA-UHFFFAOYSA-N"	"(form"
"VMXUWOKSQNHOCA-UHFFFAOYSA-N"	"(form i"
"VMXUWOKSQNHOCA-UHFFFAOYSA-N"	"(form i"
"PFNFFQXMRSDOHW-UHFFFAOYSA-N"	"(fully"
"PFNFFQXMRSDOHW-UHFFFAOYSA-N"	"(fully"
"PFNFFQXMRSDOHW-UHFFFAOYSA-N"	"(fully protonated"
"RLDVZILFNVRJTL-UHFFFAOYSA-N"	"(gs)-rd"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"(hco3-)"
"BVKZGUZCCUSVTD-UHFFFAOYSA-N"	"(hco31-)"
"IKIIZLYTISPENI-UHFFFAOYSA-N"	"(hydrate)"
"ZXIBCJHYVWYIKI-UHFFFAOYSA-N"	"(hydroxylamine"
"XIMXJQOPHNZJDD-UHFFFAOYSA-N"	"(iii)"
"GJSURZIOUXUGAL-UHFFFAOYSA-N"	"(imino"
"GJSURZIOUXUGAL-UHFFFAOYSA-N"	"(imino"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(infant's"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(infant's"
"RYYVLZVUVIJVGH-UHFFFAOYSA-N"	"(jp15)"
"JCCNYMKQOSZNPW-UHFFFAOYSA-N"	"(kinray)"
"ONIBWKKTOPOVIA-UHFFFAOYSA-N"	"(l-)"
"JYGXADMDTFJGBT-UHFFFAOYSA-N"	"(lipid)"
"LHGVFZTZFXWLCP-UHFFFAOYSA-N"	"(liquid)"
"VHFVKMTVMIZMIK-UHFFFAOYSA-N"	"(m-cpp)"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(mango)"
"SNICXCGAKADSCV-UHFFFAOYSA-N"	"(mint)"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(mixed"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(mixed"
"CZGUSIXMZVURDU-UHFFFAOYSA-N"	"(mouse)"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"(multiple"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"(multiple"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(natural source"
"NFLWUMRGJYTJIN-UHFFFAOYSA-N"	"(needs"
"NFLWUMRGJYTJIN-UHFFFAOYSA-N"	"(needs"
"NFLWUMRGJYTJIN-UHFFFAOYSA-N"	"(needs no"
"NFLWUMRGJYTJIN-UHFFFAOYSA-N"	"(needs no"
"XEFQLINVKFYRCS-UHFFFAOYSA-N"	"(neutral)"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"(no"
"NOOLISFMXDJSKH-UHFFFAOYSA-N"	"(no"
"YGSDEFSMJLZEOE-UHFFFAOYSA-N"	"(normal)"
"CIWBSHSKHKDKBQ-UHFFFAOYSA-N"	"(orange)"
"ZXIBCJHYVWYIKI-UHFFFAOYSA-N"	"(oxime"
"ZXIBCJHYVWYIKI-UHFFFAOYSA-N"	"(oxime"
"BPLBGHOLXOTWMN-UHFFFAOYSA-N"	"(pin)"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(pl"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(pl"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(pl 146"
"KRKNYBCHXYNGOX-UHFFFAOYSA-N"	"(pl 146"
"OIRDTQYFTABQOQ-UHFFFAOYSA-N"	"(pre-filled"
"PSGAAPLEWMOORI-UHFFFAOYSA-N"	"(premarin"
"PSGAAPLEWMOORI-UHFFFAOYSA-N"	"(premarin"
"SNICXCGAKADSCV-UHFFFAOYSA-N"	"(professional"
"LELOWRISYMNNSU-UHFFFAOYSA-N"	"(prussian"
"LELOWRISYMNNSU-UHFFFAOYSA-N"	"(prussian"
"KBOPZPXVLCULAV-UHFFFAOYSA-N"	"(r)"
"KBOPZPXVLCULAV-UHFFFAOYSA-N"	"(r) 5-asa"
"IZFHEQBZOYJLPK-UHFFFAOYSA-N"	"(r)-dhla"
"SGOIRFVFHAKUTI-UHFFFAOYSA-N"	"(r)-pmpa"
"RZVAJINKPMORJF-UHFFFAOYSA-N"	"(red)"
"QXHHHPZILQDDPS-UHFFFAOYSA-N"	"(refill)"
"XXPANQJNYNUNES-UHFFFAOYSA-N"	"(s)"
"MKKYBZZTJQGVCD-UHFFFAOYSA-N"	"(s)-,"
"MKKYBZZTJQGVCD-UHFFFAOYSA-N"	"(s)-,"
"IZFHEQBZOYJLPK-UHFFFAOYSA-N"	"(s)-dhla"
"VWFCHDSQECPREK-UHFFFAOYSA-N"	"(s)-hpmpc"
"LOUPRKONTZGTKE-UHFFFAOYSA-N"	"(salt),"
"LOUPRKONTZGTKE-UHFFFAOYSA-N"	"(salt),"
"HSRJKNPTNIJEKV-UHFFFAOYSA-N"	"(sans"
"HSRJKNPTNIJEKV-UHFFFAOYSA-N"	"(sans"
"XZWYZXLIPXDOLR-UHFFFAOYSA-N"	"(sb)"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"(single"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"(single"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"(single use,"
"XADCESSVHJOZHK-UHFFFAOYSA-N"	"(single use,"
"LVWZTYCIRDMTEY-UHFFFAOYSA-N"	"(sodium"
"LVWZTYCIRDMTEY-UHFFFAOYSA-N"	"(sodium"
"SNPPWIUOZRMYNY-UHFFFAOYSA-N"	"(sr)"
"PPRRDFIXUUSXRA-UHFFFAOYSA-N"	"(street"
"PPRRDFIXUUSXRA-UHFFFAOYSA-N"	"(street"
"GWNVDXQDILPJIG-UHFFFAOYSA-N"	"(sub"
